               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  64,            0.031601,            0.024676,                   0,             0.61181,             0.65616,             0.62629,             0.30177,            0.044727,            0.030114,                   0,            0.001684,            0.001684,            0.001684
                  65,            0.031444,            0.026212,                   0,             0.59663,             0.64954,             0.62279,             0.30154,            0.044665,            0.030776,                   0,            0.001552,            0.001552,            0.001552
                  66,            0.030925,            0.026008,                   0,             0.59835,             0.65086,             0.61302,             0.29678,            0.044978,            0.030925,                   0,             0.00142,             0.00142,             0.00142
                  67,            0.030708,             0.02412,                   0,             0.59544,             0.62846,             0.60741,             0.29261,            0.044992,             0.03125,                   0,            0.001288,            0.001288,            0.001288
                  68,            0.030545,            0.025725,                   0,             0.60814,             0.62978,             0.60453,             0.29355,            0.044864,            0.031228,                   0,            0.001156,            0.001156,            0.001156
                  69,            0.029979,            0.024873,                   0,             0.58913,             0.65613,             0.61463,             0.29597,            0.044365,            0.031037,                   0,            0.001024,            0.001024,            0.001024
                  70,            0.030091,            0.024784,                   0,             0.63848,             0.61662,             0.61746,             0.29975,            0.044302,            0.030615,                   0,            0.000892,            0.000892,            0.000892
                  71,            0.029606,            0.024571,                   0,             0.58146,             0.64295,             0.59871,             0.29343,            0.044888,            0.031358,                   0,             0.00076,             0.00076,             0.00076
                  72,            0.029672,             0.02423,                   0,             0.58447,             0.65086,             0.61364,             0.29988,            0.044716,            0.031254,                   0,            0.000628,            0.000628,            0.000628
                  73,            0.030071,            0.024229,                   0,              0.5945,             0.64163,             0.61208,             0.30319,            0.044598,            0.031017,                   0,            0.000496,            0.000496,            0.000496
                  74,            0.030142,            0.025024,                   0,             0.59755,             0.63578,             0.60853,             0.30235,            0.044619,            0.031047,                   0,            0.000364,            0.000364,            0.000364
